5713	21	1055	0	10.3060751	1	0	0	1	1	ncpi0	
5586	193	9652	0	10.09877968	1	1	1	1	0	1mu2p	
5463	14	724	2	10.01798153	1	0	1	1	1	decay-e	
5558	82	4146	0	10.00756741	1	0	1	1	0	decay-e	
5725	44	2216	0	9.94595623	1	0	0	1	1	ccpi0	
5694	7	379	2	9.656713486	1	0	0	1	0	ccpi+	
5204	141	7068	0	9.51731205	1	0	0	1	0	1mu1p	
5445	35	1789	1	9.495240211	1	1	1	1	0	1mu1p	
5762	150	7516	0	9.331962585	1	0	0	1	1	ncpi0	
5278	99	4997	0	9.310774803	1	0	0	1	0	1mu1p	
5726	44	2205	0	9.223620415	1	0	0	0	0	decay-e	
5929	21	1097	2	9.191448212	1	0	1	0	1	ccpi0	
5436	138	6936	0	9.168803215	1	1	1	1	0	1mu1p	
5497	103	5192	0	9.164223671	1	1	1	1	0	1mu1p	
5839	34	1704	1	9.150855064	1	1	1	1	0	1mu1p	
5482	3	152	1	9.072576523	1	0	1	1	1	ccpi0	
5921	17	880	0	9.027747154	1	1	1	1	0	1mu1p	
5935	9	491	2	9.020664215	1	0	0	0	0	decay-e	
5718	32	1608	2	9.008940697	1	1	1	1	0	1mu1p	
5598	78	3934	1	9.005286217	1	1	1	1	0	1mu1p	
5263	76	3801	0	8.990527153	1	0	0	1	0	1mu2p	
5384	125	6281	0	8.949409485	1	0	0	1	1	ccpi0	
5515	125	6259	0	8.920418739	1						
5332	52	2629	0	8.90763092	1	1	1	1	0	1mu2p	
5179	134	6706	1	8.89707756	1	0	0	0	0	delta-e	
5233	30	1515	0	8.859044075	1	1	1	1	0	1mu1p	
5823	171	8596	0	8.838172913	1	0	1	1	1	ccpi0	
5531	60	3039	0	8.823770523	1	1	1	1	0	1mu1p	
5179	144	7244	0	8.819374084	1	1	1	1	0	1mu1p	
5832	167	8374	0	8.803689003	1	1	1	1	0	1mu1p	
5179	181	9066	1	8.760818481	1	1	1	1	0	nc2p	
5153	109	5463	0	8.714387894	1	0	0	1	0	1mu1p	
5497	67	3378	3	8.708945274	1	0	1	1	0	nc2p+pi0	
5384	18	912	2	8.690218925	1	0	1	0	0	decay-e	"wrong vertex	 neutrino close"
5921	27	1398	0	8.649780273	1	0	0	1	0	1mu1p	
5708	0	39	0	8.639840126	1	1	1	1	0	1mu1p	
5331	170	8513	2	8.603358269	1	0	0	1	0	1mu1p	
5331	198	9924	1	8.586896896	1	0	0	1	0	1mu1p	
5478	45	2297	0	8.582838058	1	1	1	1	0	ccpi+	
5822	68	3434	0	8.582742691	1	0	0	1	0	1mu1p	
5694	8	420	0	8.577861786	1	0	0	1	0	1mu1p	
5208	95	4789	0	8.535147667	1	1	1	1	0	1mu1p	
5650	67	3377	2	8.529332161	1	1	1	1	0	1mu1p	
5525	55	2793	0	8.522620201	1	1	1	1	0	1mu1p	
5899	31	1567	0	8.496681213	1	1	1	1	0	1mu1p	
5433	158	7920	1	8.486113548	1	0	0	1	0	1mu2p	
5897	57	2895	0	8.484097481	1	1	1	1	0	1mu1p	
5523	7	361	0	8.465753555	1	1	1	1	0	1mu1p	
5128	34	1729	2	8.439478874	1	1	1	1	0	1mu1p	
5933	29	1459	0	8.414622307	1	1	1	1	0	nc2p	
5557	11	586	0	8.407465935	1	1	1	1	0	1mu1p	
5719	11	563	0	8.400300026	1	0	0	0	0	decay-e	
5891	52	2602	0	8.388315201	1	0	0	1	0	1mu2p	
5709	7	397	2	8.334353447	1	1	1	1	0	1mu1p	
5340	41	2067	0	8.314920425	1	0	1	1	1	ccpi0	
5822	15	766	0	8.311321259	1	1	1	1	0	1mu1p	
5923	4	241	0	8.295361519	1	0	0	1	0	1mu1p	
5709	105	5270	5	8.227210999	1	1	1	1	0	1mu1p	
5215	1	88	0	8.226231575	1	1	1	1	0	1mu1p	
5719	59	2997	0	8.194740295	1	1	1	1	0	1mu1p	
5339	55	2769	0	8.152155876	1	0	0	1	0	nc3p	
5272	5	266	0	8.137514114	1	1	1	1	0	1mu1p	
5136	14	724	0	8.126085281	1	0	0	1	1	ncpi0	
5425	15	778	2	8.084305763	1	1	1	1	0	1mu1p	
5167	25	1297	0	8.080973625	1	1	1	1	0	1mu1p	
5606	67	3385	1	8.068565369	1	1	1	1	0	1mu1p	
5656	4	204	0	8.053194046	1	1	1	1	0	1mu1p	
5154	89	4469	0	8.028227806	1	1	1	1	0	1mu1p	
5151	142	7144	1	7.953265667	1	0	0	1	0	1mu2p	
5500	13	689	1	7.920679092	1	1	1	1	0	1mu1p	
5365	16	848	1	7.917424679	1	1	1	1	0	1mu1p	
5157	44	2235	0	7.874735832	1	1	1	1	0	1mu1p	
5331	58	2921	0	7.810496807	1	1	1	1	0	1mu1p	
5499	168	8444	0	7.767603874	1	0	0	1	0	1eX?	
5142	34	1721	0	7.76320982	1	1	1	1	0	1mu1p	
5946	11	568	1	7.748072624	1	0	0	1	0	1mu1p	
5128	25	1267	1	7.745872021	1	0	1	0	0	decay-e	
5925	165	8274	2	7.713202953	1	1	1	1	0	1mu1p	nu+beam neutron?
5782	11	592	1	7.693678856	1	0	1	1	0	ccpi+	
5905	9	464	0	7.688161373	1	1	1	1	0	1mu1p	
5329	10	545	0	7.674695969	1	1	1	1	0	1mu1p	
5769	48	2430	2	7.65753746	1	0	1	1	0	1mu2p	
5214	14	728	0	7.595361233	1	0	0	1	0	1mu1p	
5444	44	2201	0	7.590815067	1	0	0	1	0	1mu1p	
5204	67	3366	0	7.579003811	1	1	1	1	0	1mu1p	
